# number / title	text	type	code	data
Vastaavaa				
_Pysyvät vastaavat				
__Aineettomat hyödykkeet				
1011	Perustamismenot	ASSET		{}
1021	Tutkimusmenot	ASSET		{}
1031	Kehittämismenot	ASSET		{}
1041	Aineettomat oikeudet	ASSET		{}
1081	Muut pitkävaikutteiset menot	ASSET		{}
1091	Ennakkomaksut	ASSET		{}
__Aineelliset hyödykkeet				
1111	Maa- ja vesialueet	ASSET		{}
1121	Maanvuokraoikeudet	ASSET		{}
1151	Rakennukset ja rakennelmat	ASSET		{}
1171	Rakennusten vuokraoikeudet	ASSET		{}
1211	Koneet ja kalusto	ASSET		{}
1311	Muut aineelliset hyödykkeet (poistokelpoiset)	ASSET		{}
1351	Ennakkomaksut ja keskeneräiset hankinnat	ASSET		{}
__Sijoitukset				
1411	Osuudet ja osakkeet	ASSET		{}
1451	Muut sijoitukset	ASSET		{}
_Vaihtuvat vastaavat				
__Vaihto-omaisuus				
1511	Aineet ja tarvikkeet	ASSET		{}
1521	Keskeneräiset tuotteet	ASSET		{}
1531	Valmiit tuotteet	ASSET		{}
1541	Tavarat	ASSET		{}
1551	Muu vaihto-omaisuus	ASSET		{}
1561	Ennakkomaksut	ASSET		{}
__Pitkäaikaiset saamiset				
1611	Myyntisaamiset (pitkäaikaiset)	ASSET		{}
1641	Lainasaamiset (pitkäaikaiset)	ASSET		{}
1651	Muut saamiset (pitkäaikaiset)	ASSET		{}
1661	Maksamattomat osakkeet/osuudet (pitkäaikaiset)	ASSET		{}
1671	Siirtosaamiset (pitkäaikaiset)	ASSET		{}
1681	Laskennalliset verosaamiset (pitkäaikaiset)	ASSET		{}
__Lyhytaikaiset saamiset				
1711	Myyntisaamiset	ASSET		{}
1761	Lainasaamiset	ASSET		{}
1771	Muut saamiset	ASSET		{}
1791	Maksamattomat osakkeet/osuudet	ASSET		{}
1811	Siirtosaamiset	ASSET		{}
1841	Laskennalliset verosaamiset	ASSET		{}
__Rahoitusarvopaperit				
1851	Osakkeet ja osuudet	ASSET		{}
1881	Muut arvopaperit	ASSET		{}
__Rahat ja pankkisaamiset				
1901	Käteisvarat	ASSET		{}
1911	Säästöpankki Optia	ASSET		{}
1912	Osuuspankki	ASSET		{}
Vastattavaa				
_Oma pääoma				
2011	Peruspääoma	EQUITY		{}
2251	Edellisten tilikausien ylijäämät	PROFIT_PREV		{}
_Tilinpäätössiirtojen kertymä				
2411	Poistoero	LIABILITY		{}
2451	Vapaaehtoiset varaukset	LIABILITY		{}
_Pakolliset varaukset				
2511	Eläkevaraukset	LIABILITY		{}
2521	Verovaraukset	LIABILITY		{}
2531	Muut pakolliset varaukset	LIABILITY		{}
_Vieras pääoma				
__Pitkäaikainen vieras pääoma				
2631	Lainat rahoituslaitoksilta (pitkäaikaiset)	LIABILITY		{}
2651	Eläkelainat (pitkäaikaiset)	LIABILITY		{}
2661	Saadut ennakot (pitkäaikaiset)	LIABILITY		{}
2671	Ostovelat (pitkäaikaiset)	LIABILITY		{}
2681	Rahoitusvekselit (pitkäaikaiset)	LIABILITY		{}
2731	Muut velat (pitkäaikaiset)	LIABILITY		{}
2751	Siirtovelat (pitkäaikaiset)	LIABILITY		{}
__Lyhytaikainen vieras pääoma				
2831	Lainat rahoituslaitoksilta	LIABILITY		{}
2851	Eläkelainat	LIABILITY		{}
2861	Saadut ennakot	LIABILITY		{}
2871	Ostovelat	LIABILITY		{}
2891	Rahoitusvekselit	LIABILITY		{}
2931	Ennakonpidätys- ja sosiaaliturvamaksuvelka	LIABILITY		{}
2945	Arvonlisäverovelka	LIABILITY		{}
2959	Muut velat	LIABILITY		{}
2961	Siirtovelat	LIABILITY		{}
Tuloslaskelma				
_Varsinaisen toiminnan tuotot				
3001	Osallistumismaksut	REVENUE		{}
3101	Lahjoitukset	REVENUE		{}
3901	Muut varsinaisen toiminnan tuotot	REVENUE		{}
_Varsinaisen toiminnan kulut				
__Henkilöstökulut				
___Palkat ja palkkiot				
4001	Palkat	EXPENSE		{}
4011	Lisät ja korvaukset	EXPENSE		{}
4021	Loma-ajan palkat	EXPENSE		{}
4031	Palkkiot	EXPENSE		{}
4041	Luontoisedut	EXPENSE		{}
4049	Luontoisetujen vastatili	EXPENSE		{}
4051	Saadut sairausvakuutuskorvaukset	EXPENSE		{}
4061	Saadut tapaturmavakuutuskorvaukset	EXPENSE		{}
___Henkilösivukulut				
4101	Maksetut eläkkeet	EXPENSE		{}
